season_id,team_id_home,team_abbreviation_home,team_name_home,game_id,game_date,matchup_home,pts_home,plus_minus_home,team_id_away,team_abbreviation_away,team_name_away,matchup_away,pts_away,plus_minus_away,season_type
22017,1610612750,MIN,Minnesota Timberwolves,0021700548,2018-01-01T00:00:00Z,MIN vs. LAL,114,18,1610612747,LAL,Los Angeles Lakers,LAL @ MIN,96,-18,Regular Season
22017,1610612741,CHI,Chicago Bulls,0021700547,2018-01-01T00:00:00Z,CHI vs. POR,120,-4,1610612757,POR,Portland Trail Blazers,POR @ CHI,124,4,Regular Season
22017,1610612761,TOR,Toronto Raptors,0021700546,2018-01-01T00:00:00Z,TOR vs. MIL,131,4,1610612749,MIL,Milwaukee Bucks,MIL @ TOR,127,-4,Regular Season
22017,1610612751,BKN,Brooklyn Nets,0021700545,2018-01-01T00:00:00Z,BKN vs. ORL,98,3,1610612753,ORL,Orlando Magic,ORL @ BKN,95,-3,Regular Season
22017,1610612752,NYK,New York Knicks,0021700550,2018-01-02T00:00:00Z,NYK vs. SAS,91,-9,1610612759,SAS,San Antonio Spurs,SAS @ NYK,100,9,Regular Season
22017,1610612758,SAC,Sacramento Kings,0021700552,2018-01-02T00:00:00Z,SAC vs. CHA,111,-20,1610612766,CHA,Charlotte Hornets,CHA @ SAC,131,20,Regular Season
22017,1610612746,LAC,LA Clippers,0021700553,2018-01-02T00:00:00Z,LAC vs. MEM,113,8,1610612763,MEM,Memphis Grizzlies,MEM @ LAC,105,-8,Regular Season
22017,1610612756,PHX,Phoenix Suns,0021700551,2018-01-02T00:00:00Z,PHX vs. ATL,104,1,1610612737,ATL,Atlanta Hawks,ATL @ PHX,103,-1,Regular Season
22017,1610612739,CLE,Cleveland Cavaliers,0021700549,2018-01-02T00:00:00Z,CLE vs. POR,127,17,1610612757,POR,Portland Trail Blazers,POR @ CLE,110,-17,Regular Season
22017,1610612738,BOS,Boston Celtics,0021700559,2018-01-03T00:00:00Z,BOS vs. CLE,102,14,1610612739,CLE,Cleveland Cavaliers,CLE @ BOS,88,-14,Regular Season
22017,1610612751,BKN,Brooklyn Nets,0021700557,2018-01-03T00:00:00Z,BKN vs. MIN,98,1,1610612750,MIN,Minnesota Timberwolves,MIN @ BKN,97,-1,Regular Season
22017,1610612742,DAL,Dallas Mavericks,0021700562,2018-01-03T00:00:00Z,DAL vs. GSW,122,-3,1610612744,GSW,Golden State Warriors,GSW @ DAL,125,3,Regular Season
22017,1610612741,CHI,Chicago Bulls,0021700560,2018-01-03T00:00:00Z,CHI vs. TOR,115,-9,1610612761,TOR,Toronto Raptors,TOR @ CHI,124,9,Regular Season
22017,1610612762,UTA,Utah Jazz,0021700564,2018-01-03T00:00:00Z,UTA vs. NOP,98,-10,1610612740,NOP,New Orleans Pelicans,NOP @ UTA,108,10,Regular Season
22017,1610612764,WAS,Washington Wizards,0021700556,2018-01-03T00:00:00Z,WAS vs. NYK,121,18,1610612752,NYK,New York Knicks,NYK @ WAS,103,-18,Regular Season
22017,1610612743,DEN,Denver Nuggets,0021700563,2018-01-03T00:00:00Z,DEN vs. PHX,134,23,1610612756,PHX,Phoenix Suns,PHX @ DEN,111,-23,Regular Season
22017,1610612755,PHI,Philadelphia 76ers,0021700555,2018-01-03T00:00:00Z,PHI vs. SAS,112,6,1610612759,SAS,San Antonio Spurs,SAS @ PHI,106,-6,Regular Season
22017,1610612753,ORL,Orlando Magic,0021700554,2018-01-03T00:00:00Z,ORL vs. HOU,98,-18,1610612745,HOU,Houston Rockets,HOU @ ORL,116,18,Regular Season
22017,1610612747,LAL,Los Angeles Lakers,0021700565,2018-01-03T00:00:00Z,LAL vs. OKC,96,-37,1610612760,OKC,Oklahoma City Thunder,OKC @ LAL,133,37,Regular Season
22017,1610612749,MIL,Milwaukee Bucks,0021700561,2018-01-03T00:00:00Z,MIL vs. IND,122,21,1610612754,IND,Indiana Pacers,IND @ MIL,101,-21,Regular Season
22017,1610612748,MIA,Miami Heat,0021700558,2018-01-03T00:00:00Z,MIA vs. DET,111,7,1610612765,DET,Detroit Pistons,DET @ MIA,104,-7,Regular Season
22017,1610612746,LAC,LA Clippers,0021700567,2018-01-04T00:00:00Z,LAC vs. OKC,117,-10,1610612760,OKC,Oklahoma City Thunder,OKC @ LAC,127,10,Regular Season
22017,1610612745,HOU,Houston Rockets,0021700566,2018-01-04T00:00:00Z,HOU vs. GSW,114,-10,1610612744,GSW,Golden State Warriors,GSW @ HOU,124,10,Regular Season
22017,1610612755,PHI,Philadelphia 76ers,0021700569,2018-01-05T00:00:00Z,PHI vs. DET,114,36,1610612765,DET,Detroit Pistons,DET @ PHI,78,-36,Regular Season
22017,1610612742,DAL,Dallas Mavericks,0021700572,2018-01-05T00:00:00Z,DAL vs. CHI,124,-3,1610612741,CHI,Chicago Bulls,CHI @ DAL,127,3,Regular Season
22017,1610612749,MIL,Milwaukee Bucks,0021700571,2018-01-05T00:00:00Z,MIL vs. TOR,110,-19,1610612761,TOR,Toronto Raptors,TOR @ MIL,129,19,Regular Season
22017,1610612757,POR,Portland Trail Blazers,0021700576,2018-01-05T00:00:00Z,POR vs. ATL,110,21,1610612737,ATL,Atlanta Hawks,ATL @ POR,89,-21,Regular Season
