"person_id","display_first_last","birthdate","school","country","height","weight","season_exp","jersey","position","team_id","team_name","team_abbreviation","team_city","from_year","to_year"
76001,"Alaa Abdelnaby",1968-06-24,"Duke","USA","6-10",240,5,"30","Forward",1610612757,"Trail Blazers","POR","Portland",1990,1994
76003,"Kareem Abdul-Jabbar",1947-04-16,"UCLA","USA","7-2",225,20,"33","Center",1610612747,"Lakers","LAL","Los Angeles",1969,1988
1505,"Tariq Abdul-Wahad",1974-11-03,"San Jose State","France","6-6",235,7,"9","Forward-Guard",1610612758,"Kings","SAC","Sacramento",1997,2003
949,"Shareef Abdur-Rahim",1976-12-11,"California","USA","6-9",245,13,"3","Forward",1610612763,"Grizzlies","VAN","Vancouver",1996,2007
76005,"Tom Abernethy",1954-05-06,"Indiana","USA","6-7",220,5,"5","Forward",1610612744,"Warriors","GOS","Golden State",1976,1980
76006,"Forest Able",1932-07-27,"Western Kentucky","USA","6-3",180,1,"6","Guard",1610612755,"Nationals","PHI","Syracuse",1956,1956
76007,"John Abramovic",1919-02-09,"Salem","USA","6-3",195,2,NA,"Forward",1610610031,"Ironmen","PIT","Pittsburgh",1946,1947
203518,"Alex Abrines",1993-08-01,"FC Barcelona","Spain","6-6",200,3,NA,"Guard",0,NA,NA,NA,2016,2018
1630173,"Precious Achiuwa",1999-09-19,"Memphis","Nigeria","6-8",225,3,"5","Forward",1610612761,"Raptors","TOR","Toronto",2020,2023
101165,"Alex Acker",1983-01-21,"Pepperdine","USA","6-5",185,3,"3","Guard",1610612746,"Clippers","LAC","Los Angeles",2005,2008
76008,"Donald Ackerman",1930-09-04,"Long Island-Brooklyn","USA","6-0",183,1,NA,"Guard",1610612752,"Knicks","NYK","New York",1953,1953
76009,"Mark Acres",1962-11-15,"Oral Roberts","USA","6-11",220,6,"42","Center",1610612753,"Magic","ORL","Orlando",1987,1992
76010,"Charles Acton",1942-01-11,"Hillsdale","USA","6-6",210,1,"24","Forward",1610612745,"Rockets","SDR","San Diego",1967,1967
203112,"Quincy Acy",1990-10-06,"Baylor","USA","6-7",240,7,NA,"Forward",0,NA,NA,NA,2012,2018
76011,"Alvan Adams",1954-07-19,"Oklahoma","USA","6-9",210,13,"33","Center",1610612756,"Suns","PHX","Phoenix",1975,1987
76012,"Don Adams",1947-11-27,"Northwestern","USA","6-7",210,7,"10","Forward",1610612765,"Pistons","DET","Detroit",1970,1976
200801,"Hassan Adams",1984-06-20,"Arizona","USA","6-4",220,2,NA,"Forward",0,NA,NA,NA,2006,2008
1629121,"Jaylen Adams",1996-05-04,"St. Bonaventure","USA","6-0",225,3,NA,"Guard",0,NA,NA,NA,2018,2020
203919,"Jordan Adams",1994-07-08,"UCLA","USA","6-5",209,3,"3","Guard",1610612763,"Grizzlies","MEM","Memphis",2014,2015
149,"Michael Adams",1963-01-19,"Boston College","USA","5-10",165,11,"23","Guard",1610612743,"Nuggets","DEN","Denver",1985,1995
203500,"Steven Adams",1993-07-20,"Pittsburgh","New Zealand","6-11",265,10,"4","Center",1610612763,"Grizzlies","MEM","Memphis",2013,2023
912,"Rafael Addison",1964-07-22,"Syracuse","USA","6-8",241,6,"7","Forward",1610612751,"Nets","NJN","New Jersey",1986,1996
1628389,"Bam Adebayo",1997-07-18,"Kentucky","USA","6-9",255,6,"13","Center-Forward",1610612748,"Heat","MIA","Miami",2017,2023
1629061,"Deng Adel",1997-02-01,"Louisville","South Sudan","6-7",200,2,"32","Forward",1610612739,"Cavaliers","CLE","Cleveland",2018,2018
76015,"Rick Adelman",1946-06-16,"Loyola-Marymount","USA","6-2",175,7,"5","Guard",1610612757,"Trail Blazers","POR","Portland",1968,1974
202399,"Jeff Adrien",1986-02-10,"Connecticut","USA",NA,NA,6,NA,NA,0,NA,NA,NA,2010,2014
201167,"Arron Afflalo",1985-10-15,"UCLA","USA","6-5",210,12,"4","Guard",1610612743,"Nuggets","DEN","Denver",2007,2017
1630534,"Ochai Agbaji",2000-04-20,"Kansas","USA","6-5",215,1,"30","Guard",1610612762,"Jazz","UTA","Utah",2022,2023
200772,"Maurice Ager",1984-02-09,"Michigan State","USA","6-5",202,4,NA,"Forward-Guard",0,NA,NA,NA,2006,2010
76016,"Mark Aguirre",1959-12-10,"DePaul","USA","6-6",232,13,"7","Forward",1610612742,"Mavericks","DAL","Dallas",1981,1993
201336,"Blake Ahearn",1984-05-27,"Missouri State","USA","6-2",190,4,"2","Guard",1610612748,"Heat","MIA","Miami",2007,2011
201582,"Alexis Ajinca",1988-05-06,"Hyeres-Toulon","France","7-2",248,8,"42","Center",1610612740,"Pelicans","NOP","New Orleans",2008,2017
76018,"Henry Akin",1944-07-31,"Morehead State","USA","6-10",225,2,"10","Center",1610612752,"Knicks","NYK","New York",1966,1967
203006,"Josh Akognon",1986-02-10,"California State-Fullerton","USA","5-11",185,2,"10","Guard",1610612742,"Mavericks","DAL","Dallas",2012,2012
1629152,"DeVaughn Akoon-Purcell",1993-06-05,"Illinois State","Trinidad and Tobago","6-6",200,2,NA,"Guard-Forward",0,NA,NA,NA,2018,2018
202374,"Solomon Alabi",1988-03-21,"Florida State","Nigeria","7-1",252,3,"50","Center",1610612761,"Raptors","TOR","Toronto",2010,2011
76019,"Mark Alarie",1963-12-11,"Duke","USA","6-8",217,5,"31","Forward",1610612764,"Bullets","WAS","Washington",1986,1990
76020,"Gary Alcorn",1936-10-08,"Fresno State","USA","6-9",225,2,"24","Center",1610612765,"Pistons","DET","Detroit",1959,1960
1630583,"Santi Aldama",2001-01-10,"Loyola-Maryland","Spain","7-0",215,2,"7","Forward-Center",1610612763,"Grizzlies","MEM","Memphis",2021,2023
203128,"Furkan Aldemir",1991-08-09,"Galatasaray","Turkey","6-10",240,2,"19","Forward-Center",1610612755,"76ers","PHI","Philadelphia",2014,2014
202332,"Cole Aldrich",1988-10-31,"Kansas","USA","6-11",253,9,"45","Center",1610612752,"Knicks","NYK","New York",2010,2017
200746,"LaMarcus Aldridge",1985-07-19,"University of Texas at Austin","USA","6-11",250,17,"21","Center-Forward",1610612751,"Nets","BKN","Brooklyn",2006,2021
1626146,"Cliff Alexander",1995-11-16,"Kansas","USA","6-8",240,2,"34","Forward",1610612757,"Trail Blazers","POR","Portland",2015,2015
724,"Cory Alexander",1973-06-22,"Virginia","USA","6-1",190,8,"12","Guard",1610612759,"Spurs","SAS","San Antonio",1995,2004
201570,"Joe Alexander",1986-12-26,"West Virginia","USA","6-8",230,3,"20","Forward",1610612749,"Bucks","MIL","Milwaukee",2008,2009
1629734,"Kyle Alexander",1996-10-21,"Tennessee","Canada","6-10",216,2,"17","Forward-Center",1610612748,"Heat","MIA","Miami",2019,2019
1630234,"Ty-Shon Alexander",1998-07-16,"Creighton","USA","6-3",195,2,"0","Guard",1610612756,"Suns","PHX","Phoenix",2020,2020
2349,"Victor Alexander",1969-08-31,"Iowa State","USA","6-10",265,5,"9","Forward",1610612744,"Warriors","GOS","Golden State",1991,2001
1629638,"Nickeil Alexander-Walker",1998-09-02,"Virginia Tech","Canada","6-5",205,4,"9","Guard",1610612750,"Timberwolves","MIN","Minnesota",2019,2023
76024,"Steve Alford",1964-11-23,"Indiana","USA","6-2",183,4,"4","Guard",1610612742,"Mavericks","DAL","Dallas",1987,1990
1628959,"Rawle Alkins",1997-10-29,"Arizona","USA","6-5",225,2,"20","Guard",1610612741,"Bulls","CHI","Chicago",2018,2018
76028,"Bob Allen",1946-07-17,"Marshall","USA","6-9",205,1,"50","Forward",1610612744,"Warriors","SFW","San Francisco",1968,1968
1628960,"Grayson Allen",1995-10-08,"Duke","USA","6-4",198,5,"12","Guard",1610612749,"Bucks","MIL","Milwaukee",2018,2023
1628386,"Jarrett Allen",1998-04-21,"Texas","USA","6-9",243,6,"31","Center",1610612739,"Cavaliers","CLE","Cleveland",2017,2023
1628443,"Kadeem Allen",1993-01-15,"Arizona","USA","6-1",200,3,NA,"Guard",0,NA,NA,NA,2017,2019
202730,"Lavoy Allen",1989-02-04,"Temple","USA","6-9",260,7,"5","Forward-Center",1610612754,"Pacers","IND","Indiana",2011,2016
76027,"Lucius Allen",1947-09-26,"UCLA","USA","6-2",175,10,"42","Guard",1610612749,"Bucks","MIL","Milwaukee",1969,1978
2124,"Malik Allen",1978-06-27,"Villanova","USA","6-10",255,11,"35","Forward",1610612748,"Heat","MIA","Miami",2001,2010
2754,"Tony Allen",1982-01-11,"Oklahoma State","USA","6-4",213,14,NA,"Guard-Forward",0,NA,NA,NA,2004,2017
76029,"Odis Allison",1949-10-02,"UNLV","USA","6-6",195,1,"22","Forward",1610612744,"Warriors","GOS","Golden State",1971,1971
200984,"Lance Allred",1981-02-02,"Weber State","USA","6-11",250,2,"41","Center",1610612739,"Cavaliers","CLE","Cleveland",2007,2007
76030,"Darrell Allums",1958-09-12,"UCLA","USA","6-8",220,1,"32","Forward",1610612742,"Mavericks","DAL","Dallas",1980,1980
201165,"Morris Almond",1985-02-02,"Rice","USA","6-6",225,4,"21","Guard",1610612762,"Jazz","UTA","Utah",2007,2011
308,"Derrick Alston",1972-08-20,"Duquesne","USA","6-11",225,3,NA,"Center",0,NA,NA,NA,1994,1996
1747,"Rafer Alston",1976-07-24,"Fresno State","USA","6-2",175,11,"11","Guard",1610612745,"Rockets","HOU","Houston",1999,2009
1824,"Peter Aluma",1973-04-26,"Liberty","USA","6-10",260,1,NA,"Center",0,NA,NA,NA,1998,1998
1630631,"Jose Alvarado",1998-04-12,"Georgia Tech","USA","6-0",179,2,"15","Guard",1610612740,"Pelicans","NOP","New Orleans",2021,2023
680,"John Amaechi",1970-11-26,"Penn State","United Kingdom","6-10",270,6,"13","Forward-Center",1610612753,"Magic","ORL","Orlando",1995,2002
200811,"Lou Amundson",1982-12-07,"UNLV","USA","6-9",220,11,"17","Forward",1610612756,"Suns","PHX","Phoenix",2006,2015
2365,"Chris Andersen",1978-07-07,"Blinn J.C.","USA","6-10",245,15,NA,"Forward-Center",0,NA,NA,NA,2001,2016
2431,"David Andersen",1980-06-23,"FC Barcelona","Australia",NA,NA,20,NA,NA,0,NA,NA,NA,2009,2017
101187,"Alan Anderson",1982-10-16,"Michigan State","USA","6-6",220,9,"9","Forward-Guard",1610612751,"Nets","BKN","Brooklyn",2005,2016
202079,"Antonio Anderson",1985-06-05,"Memphis","USA","6-6",215,2,NA,"Guard",0,NA,NA,NA,2009,2009
76036,"Daniel Anderson",1951-01-01,"Southern California","USA","6-2",185,2,"33","Guard",1610612757,"Trail Blazers","POR","Portland",1974,1975
1507,"Derek Anderson",1974-07-18,"Kentucky","USA","6-5",195,12,"1","Guard",1610612757,"Trail Blazers","POR","Portland",1997,2007
76037,"Dwight Anderson",1960-12-28,"Southern California","USA","6-3",185,1,"20","Guard",1610612743,"Nuggets","DEN","Denver",1982,1982
944,"Eric Anderson",1970-05-26,"Indiana","USA","6-9",220,2,"42","Forward",1610612752,"Knicks","NYK","New York",1992,1993
